"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10587.5934085171","11076.679699342","11272.8253203624","11887.9024355661","12629.8189470391","12012.9069536524","12693.7232124048","13247.5745358715","13653.9821099635","14029.0870862791","14987.4111579957","14317.2387466327","14480.0801841251","15479.2220822028","16633.544654479","18065.8052304131","20747.3756401227","22996.7058336582","23162.685755127","20271.086351499","18824.073146248","18605.3167543472","19398.0594771818","19480.1025975588","20619.871374785","21462.2869423222","22661.4885361636","23593.9328326039",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17338.467195325","17788.9133777599","18187.7463919887","19121.0973376849","20069.4627780287","20890.1705323848","21962.5230839891","22924.1264031761","24176.0620974682","25250.5128548919","26316.9478781358","27348.1467588511","28706.4378056749","29678.4892945622","31311.6369353764","32539.0815705167","34291.2877576211","36512.5038384729","37409.163067008","40234.4179183421","39274.7642268777","41894.1730524786","42733.9362506181","45794.4042715848","46742.8026541949","46220.2512642307","46144.120814482","48460.04927536",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19452.4663616687","20585.1530146764","21259.9097212701","21700.7133561647","22607.7419016545","23658.7710808346","24523.8834591077","25412.3675952472","26652.8315743635","27606.4830303088","29375.4047955407","29739.9415290309","31178.6933297272","32106.4660049647","33755.1429267927","35013.7140443423","37627.9709197097","39385.7422696764","41316.225176699","40919.1505775576","42047.0326758635","44452.7327457999","46457.3457770311","47922.0491207455","48787.4915916798","49883.0412977321","50521.4826240632","52397.7543507726",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864152","5558.81841314857","4334.43366410288","3361.03549662053","2719.34022718708","2420.44486439699","2471.58587927039","2634.15863088586","2901.35167222536","3136.09389310516","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183019","7169.15043103855","9830.16260573873","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503047","17171.7613655507","17608.3706329028","17782.0261527141","17256.6269704411","17398.1635635792",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702.879896737916","745.141885851432","753.630760095803","709.595742548928","685.046504076847","634.177689906036","586.320225009861","580.057212740667","606.831741928996","600.902030251972","597.718189253131","609.144754217792","628.199259149723","613.630038895316","639.874227218527","644.786602674403","677.382665500247","704.439858877756","729.462783308925","735.701234336554","748.380657602419","771.509423734821","793.080192119077","818.28521331237","846.094868209195","796.960811411939","777.752851658978","770.941374349935",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18768.8069053272","19675.7623159098","20349.5919182412","20552.9262147628","21601.0035461749","22530.1606403708","22886.1256973281","23916.4959435366","24543.9330228651","25642.2616549851","27983.996115916","28982.595089306","30482.7846512136","31054.3053916126","32249.4994641232","33332.3313498604","35390.8535279226","36866.2656285925","38133.5014644659","38001.9909227332","40091.0099912907","41248.725342013","42354.6314854002","43519.7779201761","44601.3671128873","45414.8905975223","46416.8541977185","47840.1971355057",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.37674549935","984.313665015259","1001.08761089962","1047.40474082973","1054.55141005154","1104.63702603924","1137.1082750262","1186.41688112379","1210.44911903842","1256.96239341407","1320.88957456507","1380.62022882486","1422.9540625471","1456.36454516645","1516.43028712892","1545.69826491077","1608.7728866525","1701.20707313632","1768.7446574696","1773.16878347771","1781.98706633659","1820.89469315629","1890.14073032202","2002.10660412662","2108.01604124411","2116.03677458311","2167.27284700858","2266.23160222454",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.726240774682","598.789994606344","597.554226558453","616.027013462832","620.26077867101","651.262450445419","716.11981867236","753.127341340672","794.354172082911","842.120332026115","852.388972667646","903.274517043443","929.931041208174","993.26806080577","1035.52289952551","1127.55874317235","1198.50951694667","1261.416063903","1338.8602973718","1347.57924167077","1394.58472667042","1472.71648241138","1549.4802661889","1616.77927059162","1666.89454400624","1699.8799348695","1771.16213900948","1869.75816149248",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832.434081719866","869.33532826983","916.518574666377","961.161710589347","997.971592598519","1048.18420594648","1092.01768715192","1136.35459186552","1183.37670098855","1232.43447266784","1301.46328479352","1372.36251386772","1420.4312516704","1491.023591885","1586.18216794146","1718.40287298916","1864.19450265239","2024.23209501687","2163.55442727762","2264.87149858925","2393.31583163503","2570.85014525476","2756.44346659312","2934.64435240001","3131.92266183321","3335.75979065344","3579.75598102606","3868.8223032186",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5190.79679510755","4959.47784952544","4754.41981398575","4833.89479890657","5043.61584218553","5319.71631024946","5623.42571688231","5686.0622811469","6008.41037188682","5751.46948475636","6376.85746284045","6914.68883695333","7726.40139821507","8342.56816833388","9126.06781691449","10211.3149300261","11315.0101004177","12798.6946027503","14328.9295392236","14143.6130187685","14948.5975676056","15676.1505350579","16208.2134882088","16631.6615568962","17508.8855040291","18115.2303685143","19242.6226157385","20329.3436113181",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22694.907256237","25375.9182795642","26985.4940541941","30419.8805764619","30235.4120856992","31276.0265346714","32298.2224739653","32941.355869149","33826.5315820989","34535.5171817884","35622.601699238","35578.8842945325","35516.2932317334","36258.0924833938","37399.8448142104","38466.5622058612","39163.1204531047","40282.9665240104","40557.0243120659","39412.1674086511","39749.8493845143","40164.5827403304","41714.8436088807","44168.3779484071","46180.0376163635","46775.7403335698","47066.7630999618","47526.9042824434",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20031.1331443759","19469.2801378593","18790.1995151176","18938.4681333688","19608.515331786","20576.6572899628","21557.1291482518","22130.2684504633","23175.9848200419","24910.1012548108","26149.417144362","26972.6720452817","27579.5394604408","27194.1481535347","27596.0255057994","28849.7299556591","29887.1018526489","30535.500500119","29857.2715580086","28325.8786827257","28630.870368075","28941.0282297787","29937.1021672165","29878.0470407833","29977.565612183","30249.7382259305","29779.7979962432","30430.1694807172",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.281976620733","1202.66048367494","2352.77255893282","3239.94853795058","3787.99180668366","4205.49210119993","4528.61304464368","4735.17318004362","5114.27417432348","5348.5872235855","5840.6513999857","6453.18663225115","7380.87540733821","8161.68623470688","9006.44700898036","9003.26972919448","9314.88603110754","9901.61020154702","10181.913229555","10825.840024833","11164.2057322716","11526.4243893206","12172.65025508","12875.9691022036",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5399.40557534689","5509.47259753759","5083.12755388623","4797.757616393","4331.65307717847","3974.93574008075","4174.75455400399","4750.3782517115","5230.10810524106","5513.83337535777","5994.55725732174","6453.90530834298","6927.55456783626","7616.45895157519","8781.63643780397","9984.19270973925","11389.5512774567","12756.6349737882","14383.16738581","14553.7953661949","15906.7561959696","17166.6956434719","17801.9186985095","18271.7542904885","18903.1590190042","18347.1407011402","18089.0503258733","18847.9338872999",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3338.87066953944","3740.86779314501","4216.25434028003","4510.91859789018","4521.34817789316","4526.65858866503","4528.27133045399","4598.3987589119","4640.47507164007","4937.73030265677","5517.23064357771","5747.7622881618","5965.74670021574","6481.05612810796","6793.29723568804","7010.18845020262","7362.52633715806","7445.77114541173","7638.34796057672","7559.53890962285","7717.4725284288","7857.24806614463","8120.91998278189","8130.31595126342","8427.07563491892","8654.85539129625","8540.40422032373","8590.01325564317",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.9109007466","26261.1259418547","27038.8767248633","28362.5661275732","28938.4392651508","30621.6915800819","31787.7790998267","33613.3724699575","35044.9513449448","36579.5634273514","40535.2082576999","43976.0925063775","43706.034736478","45797.3203552513","47835.4392260251","49877.2841082861","53949.4237061828","56640.9889952538","58288.6120944144","55320.1617108278","55254.2141192067","54984.5103947777","53097.6962878821","52436.056406239","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2396.11488932128","2555.46889959375","2604.90634780761","2726.41010189473","2857.41346506265","2993.81087004203","3119.28235336203","3264.94703670241","3399.25430753221","3399.7349893621","3497.27942818013","3570.05677620502","3647.57122958258","3753.05086469392","3946.70854466843","4180.31826752409","4438.62469927263","4684.94688474023","4986.88053332403","5108.87359361606","5298.08451219437","5598.50844451487","5899.64186063859","6303.06642034157","6662.82976241703","6955.18276973353","7234.19524334693","7559.63940406033",
